id,komentar,platform
1,"Produk datang tepat waktu, kualitas oke.",E-Commerce
2,Fiturnya lengkap dan mudah digunakan.,PlayStore
3,"Sering force close, mohon diperbaiki.",PlayStore
4,"Promonya mantap, langsung checkout.",Twitter
5,User experience-nya beda dari yang lain.,Twitter
6,Cocok buat pelajar dan profesional.,PlayStore
7,Packing rapi dan pengiriman cepat.,E-Commerce
8,"Sesuai deskripsi, sangat puas.",E-Commerce
9,Aplikasi ini sangat membantu!,PlayStore
10,Suka banget sama warnanya!,Instagram
11,Harga terjangkau dan berkualitas.,E-Commerce
12,Beli karena lihat review di reels.,Instagram
13,"Beli karena lihat di Twitter, worth it!",Twitter
14,Fiturnya lengkap dan mudah digunakan.,PlayStore
15,"Produk datang tepat waktu, kualitas oke.",E-Commerce
16,User experience-nya beda dari yang lain.,Twitter
17,"Sering force close, mohon diperbaiki.",PlayStore
18,"Barang cacat saat datang, kecewa.",E-Commerce
19,Desain UI sangat menarik.,PlayStore
20,Harga terjangkau dan berkualitas.,E-Commerce
21,Harga terjangkau dan berkualitas.,E-Commerce
22,"Promonya mantap, langsung checkout.",Twitter
23,Cocok buat pelajar dan profesional.,PlayStore
24,Desain UI sangat menarik.,PlayStore
25,Desain UI sangat menarik.,PlayStore
26,User experience-nya beda dari yang lain.,Twitter
27,"Barang cacat saat datang, kecewa.",E-Commerce
28,"Promonya mantap, langsung checkout.",Twitter
29,Aplikasi ini sangat membantu!,PlayStore
30,"Lihat di IG story teman, jadi penasaran.",Instagram
31,Beli karena lihat review di reels.,Instagram
32,Desain UI sangat menarik.,PlayStore
33,Packing rapi dan pengiriman cepat.,E-Commerce
34,Suka banget sama warnanya!,Instagram
35,"Sering force close, mohon diperbaiki.",PlayStore
36,Harga terjangkau dan berkualitas.,E-Commerce
37,"Lihat di IG story teman, jadi penasaran.",Instagram
38,"Sesuai deskripsi, sangat puas.",E-Commerce
39,Packing rapi dan pengiriman cepat.,E-Commerce
40,"Sesuai deskripsi, sangat puas.",E-Commerce
41,Fiturnya lengkap dan mudah digunakan.,PlayStore
42,Fiturnya lengkap dan mudah digunakan.,PlayStore
43,Harga terjangkau dan berkualitas.,E-Commerce
44,"Produk datang tepat waktu, kualitas oke.",E-Commerce
45,Aplikasi ini sangat membantu!,PlayStore
46,Beli karena lihat review di reels.,Instagram
47,Beli karena lihat review di reels.,Instagram
48,Lagi rame bahas ini di timeline 😁,Twitter
49,Aplikasi ini sangat membantu!,PlayStore
50,"Lihat di IG story teman, jadi penasaran.",Instagram
51,Fiturnya lengkap dan mudah digunakan.,PlayStore
52,Cocok buat pelajar dan profesional.,PlayStore
53,Aplikasi ini sangat membantu!,PlayStore
54,Beli karena lihat review di reels.,Instagram
55,Beli karena lihat review di reels.,Instagram
56,Harga terjangkau dan berkualitas.,E-Commerce
57,Fiturnya lengkap dan mudah digunakan.,PlayStore
58,Packing rapi dan pengiriman cepat.,E-Commerce
59,"Sering force close, mohon diperbaiki.",PlayStore
60,"Sesuai deskripsi, sangat puas.",E-Commerce
61,Cocok buat pelajar dan profesional.,PlayStore
62,"Barang cacat saat datang, kecewa.",E-Commerce
63,Produk ini viral banget di Instagram!,Instagram
64,"Produk datang tepat waktu, kualitas oke.",E-Commerce
65,Produk ini viral banget di Instagram!,Instagram
